Report Version Availability
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:07 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.82,4001.01,4001.02,4000.07,4000.83,4000.84,4000.81
Report Name,Start Date,End Date,Version,Version Timestamp (EPT),Published Status,Report Version Comments
Day-Ahead Daily Energy Transactions,02/15/2018,02/15/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/16/2018,02/16/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/17/2018,02/17/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/18/2018,02/18/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/19/2018,02/19/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/20/2018,02/20/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/21/2018,02/21/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/22/2018,02/22/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/23/2018,02/23/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/24/2018,02/24/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/25/2018,02/25/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/26/2018,02/26/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/27/2018,02/27/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/28/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Operating Reserve for Negative Congestion Summary,02/01/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/01/2018,02/01/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/02/2018,02/02/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/03/2018,02/03/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/04/2018,02/04/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/05/2018,02/05/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/06/2018,02/06/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/07/2018,02/07/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/08/2018,02/08/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/09/2018,02/09/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/10/2018,02/10/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/11/2018,02/11/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/12/2018,02/12/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/13/2018,02/13/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/14/2018,02/14/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/15/2018,02/15/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/16/2018,02/16/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/17/2018,02/17/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/18/2018,02/18/2018,20180201.000,03/06/2018 14:19:29,Available,
